No,OWNER,ADDR,경도,위도
76,심슨이고쳐주는컴퓨터(ABH,"동작구 흑석한강로 27 (흑석동, 흑석한강푸르지오)",126.964879899532,37.5030485048847
77,쏘하(soft&hard),동작구 서달로14사길 2 (흑석동),126.965070449258,37.5071629747445
79,씨유중대동양점,동작구 흑석로9길,126.951750967199,37.5049757885592
80,씨유중대청룡점,동작구 흑석로6길,126.951332524849,37.504660624787
82,씨유중앙대2생활관점,동작구 흑석로10다길,126.951787298378,37.5047450299891
83,씨유중앙대기숙사점,동작구 흑석로10다길,126.951787298378,37.5047450299891
88,아리따움 중앙대점,동작구 서달로 159,126.961966925375,37.5076321858756
89,아몬드블루,동작구 서달로14길 46,126.965418628266,37.5072264741185
90,아이사랑 태권도,동작구 서달로 91,126.957993980911,37.5026621565527
91,안경의집,동작구 현충로 106,126.965158456849,37.507414580988
92,에이그리,동작구 서달로8가길 9,126.962446788075,37.505899261741
93,엔젤(단지내)공인중개사사무소,동작구 서달로 91,126.957993980911,37.5026621565527
94,연세우수의원,동작구 서달로 146 (흑석동),126.961500998003,37.5063400431207
95,열린헤어샵,동작구 서달로10길 29-1,126.962208742785,37.505467780988
96,영광족발,동작구 서달로12길 13,126.962552011237,37.5070039008172
97,영스넥,동작구 흑석로 102,126.96034886114,37.5071526748189
98,예꿈아이어린이집,"동작구 현충로 119 (흑석동, 명수대현대아파트)",126.966328625643,37.5085330473227
99,오땡큐,동작구 서달로14길 40,126.964984556751,37.5073078842117
100,오복떡방앗간,동작구 서달로12길 18,126.962688609707,37.5067892786179
101,옹골진치킨,동작구 흑석로11길 3,126.96035200598,37.5077971580725
102,와이앤에스,동작구 서달로 150,126.962183463169,37.5066259075465
103,우정약국,동작구 서달로 144,126.961353843809,37.5062503182751
104,원우기업,동작구 흑석로 126-1,126.962511172074,37.5092470074928
105,원조소금구이,동작구 서달로14길 16,126.963822207165,37.5078715491845
106,원할머니보쌈흑석점,동작구 현충로 100-1,126.96473818524,37.5076436946411
107,유유초밥,동작구 서달로151(흑석동),126.961538148348,37.5069756679316
108,유정쌈밥,동작구 서달로13길 5-14(흑석동),126.962066002442,37.5079165639818
109,유정아트,동작구 흑석로 124-1 (흑석동),126.962212046533,37.5090495111484
110,이니스프리 중앙대점,동작구 흑석로 101-1,126.960662983297,37.507821112274
111,이레공인중개사무소,동작구 서달로8가길 13,126.962648013202,37.5058438425907
112,이모네떡볶이,동작구 서달로12길 17,126.962763168427,37.5069428481422
113,이음미술학원,동작구 현충로 100,126.964596099219,37.5077353494712
114,이화(단지내)푸르지오 공인중개사사무소,동작구 흑석한강로 27,126.964879899532,37.5030485048847
115,잔칫날,동작구 현충로 131,126.968162135707,37.5068625426262
116,장원식당,동작구 서달로15길 17,126.962158698471,37.508500613484
117,전자담배,동작구 현충로 98,126.964484860259,37.5078644600857
118,전주해물콩나물국밥,동작구 흑석로9길 4(흑석동),126.959980232301,37.5076716128164
119,정관장(흑석점),동작구 현충로 102 (흑석동),126.964892794448,37.5075823819065
120,정부대찌개,동작구 흑석로94,126.959980310012,37.5072681666415
121,정인설정형외과,동작구 서달로 146,126.961500998003,37.5063400431207
122,제이정의보습학원,동작구 서달로 146,126.961500998003,37.5063400431207
123,제일홍삼건강원,동작구 서달로14나길 14,126.963408161322,37.507527154043
124,주식회사 나음 디앤아이,동작구 현충로 153 (흑석동),126.970631005558,37.5060308652675
